time,mg_index
2451754.0,0.27749
2451755.0,0.27821
2451756.0,0.27886
2451757.0,0.28032
2451758.0,0.27981
2451759.0,0.27921
2451760.0,0.27954
2451761.0,0.27998
2451762.0,0.28030
2451763.0,0.28024
2451764.0,0.27892
2451765.0,0.27913
2451766.0,0.27999
2451767.0,0.28099
2451768.0,0.28265
2451769.0,0.28356
2451770.0,0.28447
2451771.0,0.28471
2451772.0,0.28428
2451773.0,0.28396
2451774.0,0.28406
2451775.0,0.28258
2451776.0,0.27943
2451777.0,0.27714
2451778.0,0.27492
2451779.0,0.27342
2451780.0,0.27312
2451781.0,0.27366
2451782.0,0.27392
2451783.0,0.27535
2451784.0,0.27612
2451785.0,0.27730
2451786.0,0.27824
2451787.0,0.27912
2451788.0,0.27943
2451789.0,0.27883
2451790.0,0.27811
2451791.0,0.27870
2451792.0,0.27896
2451793.0,0.27921
2451794.0,0.27998
2451795.0,0.28031
2451796.0,0.27991
2451797.0,0.27868
2451798.0,0.27799
2451799.0,0.27822
2451800.0,0.27771
2451801.0,0.27741
2451802.0,0.27695
2451803.0,0.27659
2451804.0,0.27587
2451805.0,0.27588
2451806.0,0.27575
2451807.0,0.27628
2451808.0,0.27732
2451809.0,0.27822
2451810.0,0.27902
2451811.0,0.28001
2451812.0,0.28093
2451813.0,0.28180
2451814.0,0.28186
2451815.0,0.28179
2451816.0,0.28093
2451817.0,0.27936
2451818.0,0.27921
2451819.0,0.27886
2451820.0,0.27973
2451821.0,0.28107
2451822.0,0.28080
2451823.0,0.28060
2451824.0,0.27963
2451825.0,0.27905
2451826.0,0.27811
2451827.0,0.27779
2451828.0,0.27671
2451829.0,0.27745
2451830.0,0.27811
2451831.0,0.27613
2451832.0,0.27620
2451833.0,0.27680
2451834.0,0.27751
2451835.0,0.27804
2451836.0,0.27884
2451837.0,0.27938
2451838.0,0.27998
2451839.0,0.28010
2451840.0,0.28012
2451841.0,0.27959
2451842.0,0.27921
2451843.0,0.27919
2451844.0,0.27795
2451845.0,0.27826
2451846.0,0.27991
2451847.0,0.28124
2451848.0,0.28249
2451849.0,0.28375
2451850.0,0.28346
2451851.0,0.28350
2451852.0,0.28361
2451853.0,0.28211
2451854.0,0.28125
2451855.0,0.28099
2451856.0,0.27852
2451857.0,0.27820
2451858.0,0.27468
2451859.0,0.27407
2451860.0,0.27408
2451861.0,0.27417
2451862.0,0.27464
2451863.0,0.27538
2451864.0,0.27667
2451865.0,0.27734
2451866.0,0.27803
2451867.0,0.27857
2451868.0,0.27868
2451869.0,0.27857
2451870.0,0.27927
2451871.0,0.27995
2451872.0,0.28057
2451873.0,0.28210
2451874.0,0.28226
2451875.0,0.28309
2451876.0,0.28390
2451877.0,0.28485
2451878.0,0.28453
2451879.0,0.28340
2451880.0,0.28095
2451881.0,0.27932
2451882.0,0.27739
2451883.0,0.27530
2451884.0,0.27406
2451885.0,0.27370
2451886.0,0.27342
2451887.0,0.27261
2451888.0,0.27341
2451889.0,0.27436
2451890.0,0.27590
2451891.0,0.27757
2451892.0,0.27922
2451893.0,0.27995
2451894.0,0.28016
2451895.0,0.28081
2451896.0,0.28079
2451897.0,0.28108
2451898.0,0.28106
2451899.0,0.28156
2451900.0,0.28195
2451901.0,0.28189
2451902.0,0.28255
2451903.0,0.28278
2451904.0,0.28286
2451905.0,0.28264
2451906.0,0.28168
2451907.0,0.28065
2451908.0,0.27956
2451909.0,0.27755
2451910.0,0.27593
2451911.0,0.27651
2451912.0,0.27690
2451913.0,0.27620
2451914.0,0.27691
2451915.0,0.27830
2451916.0,0.27913
2451917.0,0.27911
2451918.0,0.27914
2451919.0,0.27881
2451920.0,0.27833
2451921.0,0.27804
2451922.0,0.27794
2451923.0,0.27749
2451924.0,0.27677
2451925.0,0.27641
2451926.0,0.27586
2451927.0,0.27607
2451928.0,0.27616
2451929.0,0.27629
2451930.0,0.27709
2451931.0,0.27782
2451932.0,0.27911
2451933.0,0.27955
2451934.0,0.27940
2451935.0,0.27871
2451936.0,0.27788
2451937.0,0.27698
2451938.0,0.27622
2451939.0,0.27594
2451940.0,0.27545
2451941.0,0.27554
2451942.0,0.27570
2451943.0,0.27630
2451944.0,0.27620
2451945.0,0.27679
2451946.0,0.27788
2451947.0,0.27843
2451948.0,0.27810
2451949.0,0.27884
2451950.0,0.27773
2451951.0,0.27775
2451952.0,0.27622
2451953.0,0.27552
2451954.0,0.27425
2451955.0,0.27426
2451956.0,0.27361
2451957.0,0.27268
2451958.0,0.27363
2451959.0,0.27461
2451960.0,0.27551
2451961.0,0.27619
2451962.0,0.27495
2451963.0,0.27710
2451964.0,0.27690
2451965.0,0.27642
2451966.0,0.27578
2451967.0,0.27508
2451968.0,0.27449
2451969.0,0.27398
2451970.0,0.27430
2451971.0,0.27477
2451972.0,0.27464
2451973.0,0.27489
2451974.0,0.27536
2451975.0,0.27565
2451976.0,0.27528
2451977.0,0.27529
2451978.0,0.27523
2451979.0,0.27558
2451980.0,0.27605
2451981.0,0.27419
2451982.0,0.27513
2451983.0,0.27537
2451984.0,0.27397
2451985.0,0.27478
2451986.0,0.27509
2451987.0,0.27472
2451988.0,0.27481
2451989.0,0.27460
2451990.0,0.27507
2451991.0,0.27612
2451992.0,0.27829
2451993.0,0.28000
2451994.0,0.28222
2451995.0,0.28334
2451996.0,0.28491
2451997.0,0.28539
2451998.0,0.28452
2451999.0,0.28384
2452000.0,0.28305
2452001.0,0.28159
2452002.0,0.28076
2452003.0,0.27942
2452004.0,0.27864
2452005.0,0.27871
2452006.0,0.27806
2452007.0,0.27793
2452008.0,0.27695
2452009.0,0.27590
2452010.0,0.27604
2452011.0,0.27555
2452012.0,0.27415
2452013.0,0.27322
2452014.0,0.27174
2452015.0,0.27121
2452016.0,0.27014
2452017.0,0.27025
2452018.0,0.27144
2452019.0,0.27333
2452020.0,0.27565
2452021.0,0.27726
2452022.0,0.27880
2452023.0,0.27960
2452024.0,0.28037
2452025.0,0.27992
2452026.0,0.27988
2452027.0,0.27877
2452028.0,0.27824
2452029.0,0.27838
